Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
,Belgium,2020-04-11 22:45:13,28018,3346,5986,50.8333,4.469936,Apr11,2020,4,11
,Belize,2020-04-11 22:45:13,13,2,0,17.1899,-88.4976,Apr11,2020,4,11
,Benin,2020-04-11 22:45:13,35,1,5,9.3077,2.3158,Apr11,2020,4,11
,Bhutan,2020-04-11 22:45:13,5,0,2,27.5142,90.4336,Apr11,2020,4,11
,Bolivia,2020-04-11 22:45:13,275,20,2,-16.2902,-63.5887,Apr11,2020,4,11
,Bosnia and Herzegovina,2020-04-11 22:45:13,946,37,139,43.9159,17.6791,Apr11,2020,4,11
,Botswana,2020-04-11 22:45:13,13,1,0,-22.3285,24.6849,Apr11,2020,4,11
,Brazil,2020-04-11 22:45:13,20727,1124,173,-14.235,-51.9253,Apr11,2020,4,11
,Brunei,2020-04-11 22:45:13,136,1,104,4.5353,114.7277,Apr11,2020,4,11
,Bulgaria,2020-04-11 22:45:13,661,28,62,42.7339,25.4858,Apr11,2020,4,11
,Burkina Faso,2020-04-11 22:45:13,484,27,155,12.2383,-1.5616,Apr11,2020,4,11
,Burma,2020-04-11 22:45:13,38,3,2,21.9162,95.956,Apr11,2020,4,11
,Burundi,2020-04-11 22:45:13,5,0,0,-3.3731,29.9189,Apr11,2020,4,11
,Cabo Verde,2020-04-11 22:45:13,8,1,1,16.5388,-23.0418,Apr11,2020,4,11
,Cambodia,2020-04-11 22:45:13,120,0,75,11.55,104.9167,Apr11,2020,4,11
,Cameroon,2020-04-11 22:45:13,820,12,98,3.848,11.5021,Apr11,2020,4,11
,Central African Republic,2020-04-11 22:45:13,8,0,0,6.6111,20.9394,Apr11,2020,4,11
,Chad,2020-04-11 22:45:13,11,0,2,15.4542,18.7322,Apr11,2020,4,11
,Chile,2020-04-11 22:45:13,6927,73,1864,-35.6751,-71.543,Apr11,2020,4,11
,Colombia,2020-04-11 22:45:13,2709,100,214,4.5709,-74.2973,Apr11,2020,4,11
,Congo (Brazzaville),2020-04-11 22:45:13,60,5,5,-4.2634,15.2832,Apr11,2020,4,11
,Congo (Kinshasa),2020-04-11 22:45:13,223,20,16,-4.322447,15.307045,Apr11,2020,4,11
,Costa Rica,2020-04-11 22:45:13,577,3,49,9.7489,-83.7534,Apr11,2020,4,11
